sender,receiver,edge_type
_pjames_,pwr2dppl,retweet
_pjames_,pwr2dppl,mention
_pmkr,WanderingPoint,retweet
_pmkr,WanderingPoint,mention
1Biotensegrity,RG1gal,retweet
1Biotensegrity,RG1gal,mention
41mikes,mathprofcarrie,retweet
41mikes,mathprofcarrie,mention
41mikes,jmm2021,mention
abbaskins,mathprofcarrie,retweet
abbaskins,mathprofcarrie,mention
abbaskins,jmm2021,mention
AbelOtuya,mathprofcarrie,retweet
AbelOtuya,mathprofcarrie,mention
aboufade,WanderingPoint,retweet
aboufade,WanderingPoint,mention
AbsurdistPedant,WanderingPoint,retweet
AbsurdistPedant,WanderingPoint,mention
Acertaintom,VictorPiercey1,retweet
Acertaintom,VictorPiercey1,retweet
Acertaintom,VictorPiercey1,retweet
Acertaintom,VictorPiercey1,mention
Acertaintom,VictorPiercey1,mention
Acertaintom,VictorPiercey1,mention
achambertloir,CecileMichaut,reply
achambertloir,JohannaF_math,retweet
achambertloir,mathprofcarrie,retweet
achambertloir,JohannaF_math,mention
achambertloir,mathprofcarrie,mention
achambertloir,jmm2021,mention
achambertloir,CecileMichaut,mention
achambertloir,Laelia_Ve,mention
achambertloir,arretsurimages,mention
achambertloir,realUNIVfrance,mention
AJ72826261,KJMDPhD,retweet
AJ72826261,KyJmd,mention
AlBell42017,BillOpenmind,retweet
AlBell42017,BillOpenmind,mention
AlbertTLunde,belladoesmath,retweet
AlexGalarce,WanderingPoint,retweet
AlexGalarce,WanderingPoint,mention
AlexGalarce,mathyadriana,mention
AlexPHoover,frontLahn,retweet
AlexPHoover,frontLahn,mention
algebrandis,sbagley,retweet
algebrandis,mathprofcarrie,retweet
algebrandis,pwr2dppl,retweet
algebrandis,frontLahn,retweet
algebrandis,mathprofcarrie,retweet
algebrandis,sbagley,mention
algebrandis,mathprofcarrie,mention
algebrandis,pwr2dppl,mention
algebrandis,blkmathmagic,mention
algebrandis,frontLahn,mention
algebrandis,mathprofcarrie,mention
AliciaPL25,youngstownstate,mention
AliciaPL25,FedericoArdila,mention
AliciaPL25,dtkung,mention
anitochdz,frontLahn,retweet
anitochdz,frontLahn,mention
anna_c_nelson,mathcourtney,retweet
anna_c_nelson,mathcourtney,mention
anna_c_nelson,HZinnbrooks,mention
