from,to,ties,sender,receiver
1,279,2,_pjames_,pwr2dppl
2,370,2,_pmkr,WanderingPoint
3,292,2,1Biotensegrity,RG1gal
4,164,1,41mikes,jmm2021
4,223,2,41mikes,mathprofcarrie
5,164,1,abbaskins,jmm2021
5,223,2,abbaskins,mathprofcarrie
6,223,2,AbelOtuya,mathprofcarrie
7,370,2,aboufade,WanderingPoint
8,370,2,AbsurdistPedant,WanderingPoint
9,366,6,Acertaintom,VictorPiercey1
10,30,1,achambertloir,arretsurimages
10,63,2,achambertloir,CecileMichaut
10,164,1,achambertloir,jmm2021
10,167,2,achambertloir,JohannaF_math
10,192,1,achambertloir,Laelia_Ve
10,223,2,achambertloir,mathprofcarrie
10,289,1,achambertloir,realUNIVfrance
12,186,1,AJ72826261,KJMDPhD
12,191,1,AJ72826261,KyJmd
13,48,2,AlBell42017,BillOpenmind
14,44,1,AlbertTLunde,belladoesmath
16,227,1,AlexGalarce,mathyadriana
16,370,2,AlexGalarce,WanderingPoint
17,126,2,AlexPHoover,frontLahn
19,50,1,algebrandis,blkmathmagic
19,126,2,algebrandis,frontLahn
19,223,4,algebrandis,mathprofcarrie
19,279,2,algebrandis,pwr2dppl
19,316,2,algebrandis,sbagley
20,100,1,AliciaPL25,dtkung
20,120,1,AliciaPL25,FedericoArdila
20,381,1,AliciaPL25,youngstownstate
23,126,2,anitochdz,frontLahn
24,145,1,anna_c_nelson,HZinnbrooks
24,214,2,anna_c_nelson,mathcourtney
25,164,1,annakmil,jmm2021
25,223,2,annakmil,mathprofcarrie
26,292,2,annarden,RG1gal
27,370,2,AnnClifton9,WanderingPoint
28,28,1,ArcheyDawn,ArcheyDawn
28,86,2,ArcheyDawn,diazlopezmath
28,196,2,ArcheyDawn,LoboWithACause
28,223,3,ArcheyDawn,mathprofcarrie
28,227,3,ArcheyDawn,mathyadriana
28,279,2,ArcheyDawn,pwr2dppl
28,287,2,ArcheyDawn,RachelleDeCoste
28,370,2,ArcheyDawn,WanderingPoint
28,379,2,ArcheyDawn,xl772
31,370,2,arsuaga3,WanderingPoint
32,196,2,ash_wee_k,LoboWithACause
32,370,2,ash_wee_k,WanderingPoint
33,292,2,askmrsmartinez,RG1gal
34,164,1,astrojipjawej,jmm2021
34,223,2,astrojipjawej,mathprofcarrie
35,232,2,Atabey_Kaygun,matthematician
36,292,2,Audrey_Mendivil,RG1gal
37,168,1,AuroraBirdialis,JointMath
37,316,8,AuroraBirdialis,sbagley
38,51,2,awmadvance,blviray
38,279,1,awmadvance,pwr2dppl
38,370,1,awmadvance,WanderingPoint
39,245,1,AWMmath,Morehouse
39,332,2,AWMmath,susan_dagostino
40,29,1,BarbaraFantechi,ArisWinger
40,44,1,BarbaraFantechi,belladoesmath
40,79,2,BarbaraFantechi,darrenglass
40,201,1,BarbaraFantechi,maanow
40,244,2,BarbaraFantechi,monsoon0
40,279,2,BarbaraFantechi,pwr2dppl
40,366,2,BarbaraFantechi,VictorPiercey1
40,370,4,BarbaraFantechi,WanderingPoint
41,20,2,BarbaraJaneGunn,AliciaPL25
41,120,1,BarbaraJaneGunn,FedericoArdila
42,370,2,bat_scholar,WanderingPoint
43,164,1,bearboyf,jmm2021
43,223,2,bearboyf,mathprofcarrie
45,55,2,BenisConsumer,BresockCalculus
46,10,1,benjamindickman,achambertloir
46,15,1,benjamindickman,AlexandraBerke
46,20,2,benjamindickman,AliciaPL25
46,21,3,benjamindickman,amermathsoc
46,40,1,benjamindickman,BarbaraFantechi
46,46,2,benjamindickman,benjamindickman
46,50,3,benjamindickman,blkmathmagic
46,51,2,benjamindickman,blviray
46,86,2,benjamindickman,diazlopezmath
46,120,1,benjamindickman,FedericoArdila
46,133,1,benjamindickman,GlobalMathDept
46,140,1,benjamindickman,HigherGeometer
46,164,1,benjamindickman,jmm2021
46,168,1,benjamindickman,JointMath
46,172,2,benjamindickman,joshuazucker
46,196,3,benjamindickman,LoboWithACause
46,200,1,benjamindickman,lpachter
46,223,4,benjamindickman,mathprofcarrie
46,227,2,benjamindickman,mathyadriana
46,244,2,benjamindickman,monsoon0
46,279,4,benjamindickman,pwr2dppl
46,312,1,benjamindickman,samjshah2
46,316,2,benjamindickman,sbagley
46,344,1,benjamindickman,thewordninja_bk
46,347,1,benjamindickman,todosmath
46,370,3,benjamindickman,WanderingPoint
46,378,1,benjamindickman,XenaProject
47,232,2,BikeMath,matthematician
47,279,7,BikeMath,pwr2dppl
47,316,2,BikeMath,sbagley
47,344,3,BikeMath,thewordninja_bk
47,370,2,BikeMath,WanderingPoint
48,48,2,BillOpenmind,BillOpenmind
50,50,4,blkmathmagic,blkmathmagic
50,120,2,blkmathmagic,FedericoArdila
50,164,1,blkmathmagic,jmm2021
50,196,2,blkmathmagic,LoboWithACause
50,208,6,blkmathmagic,MarissaKawehi
50,223,5,blkmathmagic,mathprofcarrie
50,276,2,blkmathmagic,priyam886
50,279,6,blkmathmagic,pwr2dppl
50,316,2,blkmathmagic,sbagley
50,362,3,blkmathmagic,vanessaarceliaa
50,370,2,blkmathmagic,WanderingPoint
50,379,2,blkmathmagic,xl772
51,120,1,blviray,FedericoArdila
51,276,1,blviray,priyam886
51,279,1,blviray,pwr2dppl
51,370,1,blviray,WanderingPoint
52,164,1,BmcChem,jmm2021
52,223,2,BmcChem,mathprofcarrie
53,370,2,bmgilland,WanderingPoint
54,97,2,BrandauerJ,DrMRLD
56,145,1,Cal_Q_L8,HZinnbrooks
56,214,2,Cal_Q_L8,mathcourtney
58,244,2,CardColm,monsoon0
59,227,1,Category_Fury,mathyadriana
59,370,2,Category_Fury,WanderingPoint
61,362,2,Cayleygrapher,vanessaarceliaa
62,370,2,ccshan,WanderingPoint
63,30,1,CecileMichaut,arretsurimages
63,192,2,CecileMichaut,Laelia_Ve
63,289,1,CecileMichaut,realUNIVfrance
65,370,2,CeritDr,WanderingPoint
66,227,1,ChengSoonOng,mathyadriana
66,370,2,ChengSoonOng,WanderingPoint
67,370,2,ChristianJaeh,WanderingPoint
68,233,2,cjp_still,matthewando
69,50,1,CKalinecCraig,blkmathmagic
70,70,1,ClaudioJacobo,ClaudioJacobo
70,223,1,ClaudioJacobo,mathprofcarrie
70,355,1,ClaudioJacobo,uchicagogsu
72,48,2,ComplexWales,BillOpenmind
73,20,2,CompStatsGeom,AliciaPL25
73,120,1,CompStatsGeom,FedericoArdila
74,44,1,con_nect_ed,belladoesmath
75,370,2,cordesm,WanderingPoint
76,244,2,ctheobarker,monsoon0
76,292,4,ctheobarker,RG1gal
76,323,2,ctheobarker,siwelwerd
76,370,2,ctheobarker,WanderingPoint
77,370,2,dagan_karp,WanderingPoint
78,223,2,dana_neidinger,mathprofcarrie
80,370,2,daveinstpaul,WanderingPoint
81,370,2,davewripley,WanderingPoint
82,82,1,davidwees,davidwees
82,87,3,davidwees,DingleTeach
82,223,3,davidwees,mathprofcarrie
82,310,2,davidwees,Sam71244027
82,327,2,davidwees,sophgermain
83,370,2,dbdoughe,WanderingPoint
84,208,2,declan_hoare,MarissaKawehi
85,97,2,DeirdreM10,DrMRLD
86,21,1,diazlopezmath,amermathsoc
86,60,1,diazlopezmath,cath2math
86,86,2,diazlopezmath,diazlopezmath
86,168,1,diazlopezmath,JointMath
86,184,1,diazlopezmath,kenandoesmath
