id,node
1,_pjames_
2,_pmkr
3,1Biotensegrity
4,41mikes
5,abbaskins
6,AbelOtuya
7,aboufade
8,AbsurdistPedant
9,Acertaintom
10,achambertloir
11,AIMathematics
12,AJ72826261
13,AlBell42017
14,AlbertTLunde
15,AlexandraBerke
16,AlexGalarce
17,AlexPHoover
18,AlexYarosh
19,algebrandis
20,AliciaPL25
21,amermathsoc
22,AmstatNews
23,anitochdz
24,anna_c_nelson
25,annakmil
26,annarden
27,AnnClifton9
28,ArcheyDawn
29,ArisWinger
30,arretsurimages
31,arsuaga3
32,ash_wee_k
33,askmrsmartinez
34,astrojipjawej
35,Atabey_Kaygun
36,Audrey_Mendivil
37,AuroraBirdialis
38,awmadvance
39,AWMmath
40,BarbaraFantechi
41,BarbaraJaneGunn
42,bat_scholar
43,bearboyf
44,belladoesmath
45,BenisConsumer
46,benjamindickman
47,BikeMath
48,BillOpenmind
49,BioQUESTed
50,blkmathmagic
51,blviray
52,BmcChem
53,bmgilland
54,BrandauerJ
55,BresockCalculus
56,Cal_Q_L8
57,callin_bull
58,CardColm
59,Category_Fury
60,cath2math
61,Cayleygrapher
62,ccshan
63,CecileMichaut
64,CengageLearning
65,CeritDr
66,ChengSoonOng
67,ChristianJaeh
68,cjp_still
69,CKalinecCraig
70,ClaudioJacobo
71,complainerstore
72,ComplexWales
73,CompStatsGeom
74,con_nect_ed
75,cordesm
76,ctheobarker
77,dagan_karp
78,dana_neidinger
79,darrenglass
80,daveinstpaul
81,davewripley
82,davidwees
83,dbdoughe
84,declan_hoare
85,DeirdreM10
86,diazlopezmath
87,DingleTeach
88,DLeslieLancs
89,Doc_Kat
90,drbehardisty
91,DrBKirkpatrick
92,DrBrandyMath
93,DrClaireJanelle
94,DrErikaBullock
95,DrHenryGarrett
96,drjamesalvarez
97,DrMRLD
98,dropoutnation
99,drspoulsen
100,dtkung
101,duanecoop
102,ecology_chris
103,EdsiNetwork
104,ef_math
105,ElieNYC
106,elizabethmunch
107,EllisMathEd
108,emilyriehl
109,EmilyTWinn13
110,Enchilaudanum
111,ErikaTCamacho
112,eringriffin003
113,ESMathTeacher
114,eterEphemeral
115,evainfeld
116,evelynjlamb
117,EWhitteck
118,eyescientific
119,f_futamura
120,FedericoArdila
121,FidgeyB
122,FiveThirtyEight
123,FolaAgusto
124,fra_berni
125,fraarici
126,frontLahn
127,G2Campbell
128,GaryAdolphson
129,geonz
130,gitanjalivi
131,GizemKaraali_
132,gleuschk
133,GlobalMathDept
134,GoodsiePhD
135,GuldenKarakok
136,hannahfenster93
