id,sender,node,receiver,user_id_sender,status_id_sender,created_at_sender,text_sender,source_sender,display_text_width_sender,reply_to_status_id_sender,reply_to_user_id_sender,reply_to_screen_name_sender,is_quote_sender,is_retweet_sender,favorite_count_sender,retweet_count_sender,quote_count_sender,reply_count_sender,hashtags_sender,symbols_sender,urls_url_sender,urls_t.co_sender,urls_expanded_url_sender,media_url_sender,media_t.co_sender,media_expanded_url_sender,media_type_sender,ext_media_url_sender,ext_media_t.co_sender,ext_media_expanded_url_sender,ext_media_type_sender,mentions_user_id_sender,mentions_screen_name_sender,lang_sender,quoted_status_id_sender,quoted_text_sender,quoted_created_at_sender,quoted_source_sender,quoted_favorite_count_sender,quoted_retweet_count_sender,quoted_user_id_sender,quoted_screen_name_sender,quoted_name_sender,quoted_followers_count_sender,quoted_friends_count_sender,quoted_statuses_count_sender,quoted_location_sender,quoted_description_sender,quoted_verified_sender,retweet_status_id_sender,retweet_text_sender,retweet_created_at_sender,retweet_source_sender,retweet_favorite_count_sender,retweet_retweet_count_sender,retweet_user_id_sender,retweet_screen_name_sender,retweet_name_sender,retweet_followers_count_sender,retweet_friends_count_sender,retweet_statuses_count_sender,retweet_location_sender,retweet_description_sender,retweet_verified_sender,place_url_sender,place_name_sender,place_full_name_sender,place_type_sender,country_sender,country_code_sender,geo_coords_sender,coords_coords_sender,bbox_coords_sender,status_url_sender,name_sender,location_sender,description_sender,url_sender,protected_sender,followers_count_sender,friends_count_sender,listed_count_sender,statuses_count_sender,favourites_count_sender,account_created_at_sender,verified_sender,profile_url_sender,profile_expanded_url_sender,account_lang_sender,profile_banner_url_sender,profile_background_url_sender,profile_image_url_sender,user_id_receiver,status_id_receiver,created_at_receiver,text_receiver,source_receiver,display_text_width_receiver,reply_to_status_id_receiver,reply_to_user_id_receiver,reply_to_screen_name_receiver,is_quote_receiver,is_retweet_receiver,favorite_count_receiver,retweet_count_receiver,quote_count_receiver,reply_count_receiver,hashtags_receiver,symbols_receiver,urls_url_receiver,urls_t.co_receiver,urls_expanded_url_receiver,media_url_receiver,media_t.co_receiver,media_expanded_url_receiver,media_type_receiver,ext_media_url_receiver,ext_media_t.co_receiver,ext_media_expanded_url_receiver,ext_media_type_receiver,mentions_user_id_receiver,mentions_screen_name_receiver,lang_receiver,quoted_status_id_receiver,quoted_text_receiver,quoted_created_at_receiver,quoted_source_receiver,quoted_favorite_count_receiver,quoted_retweet_count_receiver,quoted_user_id_receiver,quoted_screen_name_receiver,quoted_name_receiver,quoted_followers_count_receiver,quoted_friends_count_receiver,quoted_statuses_count_receiver,quoted_location_receiver,quoted_description_receiver,quoted_verified_receiver,retweet_status_id_receiver,retweet_text_receiver,retweet_created_at_receiver,retweet_source_receiver,retweet_favorite_count_receiver,retweet_retweet_count_receiver,retweet_user_id_receiver,retweet_screen_name_receiver,retweet_name_receiver,retweet_followers_count_receiver,retweet_friends_count_receiver,retweet_statuses_count_receiver,retweet_location_receiver,retweet_description_receiver,retweet_verified_receiver,place_url_receiver,place_name_receiver,place_full_name_receiver,place_type_receiver,country_receiver,country_code_receiver,geo_coords_receiver,coords_coords_receiver,bbox_coords_receiver,status_url_receiver,name_receiver,location_receiver,description_receiver,url_receiver,protected_receiver,followers_count_receiver,friends_count_receiver,listed_count_receiver,statuses_count_receiver,favourites_count_receiver,account_created_at_receiver,verified_receiver,profile_url_receiver,profile_expanded_url_receiver,account_lang_receiver,profile_banner_url_receiver,profile_background_url_receiver,profile_image_url_receiver,outdegree,indegree
1,_pjames_,_pjames_,NA,707355067410554880,1442571653704126465,2021-09-27T19:27:38Z,"CFTJ in @Forbes, on the 1-year anniversary of the war on #Artsakh #Armenians https://t.co/r3uViyENyI",Twitter for iPhone,NA,NA,NA,NA,FALSE,TRUE,0,7,NA,NA,,,,,,,,,,,,,NA,,,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1442541928113848321,"CFTJ in @Forbes, on the 1-year anniversary of the war on #Artsakh #Armenians https://t.co/r3uViyENyI",2021-09-27T17:29:31Z,Twitter Web App,23,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,https://twitter.com/NA/status/1442571653704126465,Phillip James,,I don’t use Twitter much but here we are! will change eventually.,https://t.co/VPXeSl0Vw4,FALSE,37,154,0,93,657,2016-03-08T23:59:24Z,FALSE,https://t.co/VPXeSl0Vw4,http://www.aiclothing.com,NA,https://pbs.twimg.com/profile_banners/707355067410554880/1612847356,NA,http://pbs.twimg.com/profile_images/1359006425544941568/q2psFO_w_normal.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
2,_pmkr,_pmkr,NA,863612539,1446524865985617959,2021-10-08T17:16:17Z,@UpFromTheCracks Seems like it might have been well-intentioned but this quote from their VP definitely indicates t… https://t.co/1roH8dxBHH,Twitter Web App,NA,1446524660926095369,863612539,_pmkr,FALSE,FALSE,0,0,NA,NA,,,,,,,,,,,,,NA,,,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,https://twitter.com/NA/status/1446524865985617959,Peaks مشمش (they/them) ☪️️,"London, England","Tech, power, human rights, activism, etc. + Sometimes computational social science & cognitive science. 🧕Image (https://t.co/n13O4cPK4F) by https://t.co/hqKku9QsXo",https://t.co/mhOUrC0AOU,FALSE,2152,2187,38,2121,3670,2012-10-05T20:09:59Z,FALSE,https://t.co/mhOUrC0AOU,https://www.arts.ac.uk/subjects/creative-computing/postgraduate/ma-internet-equalities,NA,https://pbs.twimg.com/profile_banners/863612539/1598630235,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1440052019381739524/z3GozlFC_normal.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
3,1Biotensegrity,1Biotensegrity,NA,2992072018,1446587697448071168,2021-10-08T21:25:58Z,"In ENG 1P13 at @McMasterEng we will be learning a design via materials selection. 

Here are 3 bike frames made of… https://t.co/lNf5JoFcPF",Twitter for iPhone,NA,NA,NA,NA,FALSE,TRUE,0,1,NA,NA,,,,,,,,,,,,,NA,,,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1442921502647586818,"In ENG 1P13 at @McMasterEng we will be learning a design via materials selection. 

Here are 3 bike frames made of… https://t.co/lNf5JoFcPF",2021-09-28T18:37:49Z,Twitter Web App,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,https://twitter.com/NA/status/1446587697448071168,Susan Lowell de Solórzano,"Washington, DC","I work with biotensegrity concept originator Stephen M. Levin, MD (https://t.co/HRZmgKMSp3); tweeting things relevant to biotensegrity +personal bits",https://t.co/lwbLZCTCjb,FALSE,1893,4995,76,17186,14063,2015-01-22T13:28:59Z,FALSE,https://t.co/lwbLZCTCjb,http://www.BiotensegrityArchive.org,NA,https://pbs.twimg.com/profile_banners/2992072018/1422120311,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/559172724040286208/V5difYOn_normal.jpeg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
4,41mikes,41mikes,NA,1081887739,1446562563370754058,2021-10-08T19:46:05Z,The Justice Department finalized a settlement letting the Catholic Church off the hook for their share of the resid… https://t.co/7zr3cjtQc2,TweetDeck,NA,NA,NA,NA,FALSE,TRUE,0,23,NA,NA,,,,,,,,,,,,,NA,,,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1446432529393889280,The Justice Department finalized a settlement letting the Catholic Church off the hook for their share of the resid… https://t.co/7zr3cjtQc2,2021-10-08T11:09:23Z,Twitter for iPhone,61,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,https://twitter.com/NA/status/1446562563370754058,Michael Cappello,"Treaty 4 Land - Regina, SK","Husband, Father, anti-racist/anti-oppressive/teacher educator, hiker.",NA,FALSE,1777,2527,40,11134,10151,2013-01-12T05:04:45Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1081887739/1381807333,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1079224023937155078/DBO6gs1m_normal.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
5,abbaskins,abbaskins,NA,830101596197502978,1446650711505358852,2021-10-09T01:36:21Z,This is so fucked up. Many more details in the report. https://t.co/gU7mSBfFUt,Twitter for iPhone,NA,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,,,,,,,,,,,,,NA,,,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,https://twitter.com/NA/status/1446650711505358852,Abbas,"Chicago, IL","Mathematics, heavy metal, roller skating. @MathforMisfits. Chicago small business supporter.",https://t.co/7E2sulidtA,FALSE,382,2789,2,9780,34502,2017-02-10T17:10:17Z,FALSE,https://t.co/7E2sulidtA,https://www.instagram.com/necrohell/,NA,https://pbs.twimg.com/profile_banners/830101596197502978/1522121323,NA,http://pbs.twimg.com/profile_images/1400815228775022607/5hEoCztI_normal.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
6,AbelOtuya,AbelOtuya,NA,1333685328104853505,1390987833460985858,2021-05-08T11:11:57Z,There is no mountain that you can't climb when you are walking with God.,Twitter Web App,NA,NA,NA,NA,FALSE,TRUE,0,33,NA,NA,,,,,,,,,,,,,NA,,,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,990343433368866817,There is no mountain that you can't climb when you are walking with God.,2018-04-28T21:34:08Z,Twitter for iPhone,172,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,https://twitter.com/NA/status/1390987833460985858,Otuya Abel (M.Sc)🇳🇬🇬🇧🇺🇸,,"Educator in STEM

Mathematics (Major)

♻️🌳🌍, Dad, Husband

International Coord. ISA #Recipient @ngBritish🇬🇧🇳🇬 (International School Award)🏆",NA,FALSE,181,473,0,220,483,2020-12-01T08:13:04Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1333685328104853505/1606816607,NA,http://pbs.twimg.com/profile_images/1333711625854070784/eB_RT4ch_normal.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
7,aboufade,aboufade,NA,44946533,1446632084227956737,2021-10-09T00:22:20Z,@MonicaLewinsky https://t.co/pxaDeNrx9R,Twitter for Android,NA,1446589601360105473,2835276183,MonicaLewinsky,FALSE,FALSE,0,0,NA,NA,,,,,,,,,,,,,NA,,,und,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,https://twitter.com/NA/status/1446632084227956737,Edward Aboufadel,Michigan,Mathematician and academic administrator. Taming chaos. Views are my own.,https://t.co/pjtPjBk37t,FALSE,662,901,51,14298,20380,2009-06-05T17:35:09Z,FALSE,https://t.co/pjtPjBk37t,https://sites.google.com/site/aboufadelreu/Profile,NA,https://pbs.twimg.com/profile_banners/44946533/1533145545,http://abs.twimg.com/images/themes/theme5/bg.gif,http://pbs.twimg.com/profile_images/1372633420073947138/WLm46B6I_normal.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
8,AbsurdistPedant,AbsurdistPedant,NA,527568095,1369692060597559297,2021-03-10T16:50:09Z,@Jhxnxttxn Si,Twitter for Android,NA,1369393539289931783,2621241402,Jhxnxttxn,FALSE,FALSE,1,0,NA,NA,,,,,,,,,,,,,NA,,,und,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,https://twitter.com/NA/status/1369692060597559297,Absurdist,,Destroying western values with facts and logic.,NA,FALSE,70,171,1,395,35890,2012-03-17T15:35:27Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/527568095/1545954540,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/924170070800130048/zCg2htFS_normal.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
9,Acertaintom,Acertaintom,NA,479845457,1445685627769405443,2021-10-06T09:41:27Z,"@docjallingham You elide the system with the staff very easily, but what of the heath of the patients?",TweetDeck,NA,1445683908570349572,1015226100,docjallingham,FALSE,FALSE,0,0,NA,NA,,,,,,,,,,,,,NA,,,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,https://twitter.com/NA/status/1445685627769405443,Tom King,Newcastle upon Tyne,public statistics; geometry of longitudinal population coverage; the quantitative epistemic #dataethics Much better on trains than in real life #SARS2recidivist,https://t.co/fG3XMtpDUt,FALSE,527,429,32,18169,19,2012-01-31T20:51:26Z,FALSE,https://t.co/fG3XMtpDUt,http://publicstatistic.wordpress.com,NA,https://pbs.twimg.com/profile_banners/479845457/1371031413,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/344513261568141541/b856ebece776e40b1f0d1c678a12020b_normal.jpeg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
10,achambertloir,achambertloir,achambertloir,1442051094,1446600766454648836,2021-10-08T22:17:53Z,"@GuysReconsult Nous demandons à une institution à laquelle nous appartenons de notre plein gré, institution qui se… https://t.co/cac5TryVN6",Twitter Web App,NA,1446599860967387146,2310737430,GuysReconsult,FALSE,FALSE,0,0,NA,NA,,,,,,,,,,,,,NA,,,fr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,https://twitter.com/NA/status/1446600766454648836,🐘 Antoine Chambert-Loir,,"pleurnicheur de classe exceptionnelle souvent un peu chiant

—

🐘@antoinechambertloir@mathstodon.xyz
—
🕸️https://t.co/Qf3ralfTIv",https://t.co/dV2bfe5OqO,FALSE,2527,1543,37,32644,47308,2013-05-19T19:53:38Z,FALSE,https://t.co/dV2bfe5OqO,https://freedommathdance.blogspot.com/,NA,https://pbs.twimg.com/profile_banners/1442051094/1605179577,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1326832065476751361/FKn4-mIH_normal.jpg,1442051094,1446600766454648836,2021-10-08T22:17:53Z,"@GuysReconsult Nous demandons à une institution à laquelle nous appartenons de notre plein gré, institution qui se… https://t.co/cac5TryVN6",Twitter Web App,NA,1446599860967387146,2310737430,GuysReconsult,FALSE,FALSE,0,0,NA,NA,,,,,,,,,,,,,NA,,,fr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,https://twitter.com/NA/status/1446600766454648836,🐘 Antoine Chambert-Loir,,"pleurnicheur de classe exceptionnelle souvent un peu chiant

—

🐘@antoinechambertloir@mathstodon.xyz
—
🕸️https://t.co/Qf3ralfTIv",https://t.co/dV2bfe5OqO,FALSE,2527,1543,37,32644,47308,2013-05-19T19:53:38Z,FALSE,https://t.co/dV2bfe5OqO,https://freedommathdance.blogspot.com/,NA,https://pbs.twimg.com/profile_banners/1442051094/1605179577,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1326832065476751361/FKn4-mIH_normal.jpg,10,4
