sender,receiver,edge_type,ties
_pjames_,pwr2dppl,mention,1
_pjames_,pwr2dppl,retweet,1
_pmkr,WanderingPoint,mention,1
_pmkr,WanderingPoint,retweet,1
1Biotensegrity,RG1gal,mention,1
1Biotensegrity,RG1gal,retweet,1
41mikes,jmm2021,mention,1
41mikes,mathprofcarrie,mention,1
41mikes,mathprofcarrie,retweet,1
abbaskins,jmm2021,mention,1
abbaskins,mathprofcarrie,mention,1
abbaskins,mathprofcarrie,retweet,1
AbelOtuya,mathprofcarrie,mention,1
AbelOtuya,mathprofcarrie,retweet,1
aboufade,WanderingPoint,mention,1
aboufade,WanderingPoint,retweet,1
AbsurdistPedant,WanderingPoint,mention,1
AbsurdistPedant,WanderingPoint,retweet,1
Acertaintom,VictorPiercey1,mention,3
Acertaintom,VictorPiercey1,retweet,3
achambertloir,arretsurimages,mention,1
achambertloir,CecileMichaut,mention,1
achambertloir,CecileMichaut,reply,1
achambertloir,jmm2021,mention,1
achambertloir,JohannaF_math,mention,1
achambertloir,JohannaF_math,retweet,1
achambertloir,Laelia_Ve,mention,1
achambertloir,mathprofcarrie,mention,1
achambertloir,mathprofcarrie,retweet,1
achambertloir,realUNIVfrance,mention,1
AJ72826261,KJMDPhD,retweet,1
AJ72826261,KyJmd,mention,1
AlBell42017,BillOpenmind,mention,1
AlBell42017,BillOpenmind,retweet,1
AlbertTLunde,belladoesmath,retweet,1
AlexGalarce,mathyadriana,mention,1
AlexGalarce,WanderingPoint,mention,1
AlexGalarce,WanderingPoint,retweet,1
AlexPHoover,frontLahn,mention,1
AlexPHoover,frontLahn,retweet,1
algebrandis,blkmathmagic,mention,1
algebrandis,frontLahn,mention,1
algebrandis,frontLahn,retweet,1
algebrandis,mathprofcarrie,mention,2
algebrandis,mathprofcarrie,retweet,2
algebrandis,pwr2dppl,mention,1
algebrandis,pwr2dppl,retweet,1
algebrandis,sbagley,mention,1
algebrandis,sbagley,retweet,1
AliciaPL25,dtkung,mention,1
AliciaPL25,FedericoArdila,mention,1
AliciaPL25,youngstownstate,mention,1
anitochdz,frontLahn,mention,1
anitochdz,frontLahn,retweet,1
anna_c_nelson,HZinnbrooks,mention,1
anna_c_nelson,mathcourtney,mention,1
anna_c_nelson,mathcourtney,retweet,1
annakmil,jmm2021,mention,1
annakmil,mathprofcarrie,mention,1
annakmil,mathprofcarrie,retweet,1
annarden,RG1gal,mention,1
annarden,RG1gal,retweet,1
AnnClifton9,WanderingPoint,mention,1
AnnClifton9,WanderingPoint,retweet,1
ArcheyDawn,ArcheyDawn,mention,1
ArcheyDawn,diazlopezmath,mention,2
ArcheyDawn,LoboWithACause,mention,2
ArcheyDawn,mathprofcarrie,mention,2
ArcheyDawn,mathprofcarrie,retweet,1
ArcheyDawn,mathyadriana,mention,2
ArcheyDawn,mathyadriana,reply,1
ArcheyDawn,pwr2dppl,mention,2
ArcheyDawn,RachelleDeCoste,mention,2
ArcheyDawn,WanderingPoint,mention,2
ArcheyDawn,xl772,mention,2
arsuaga3,WanderingPoint,mention,1
arsuaga3,WanderingPoint,retweet,1
ash_wee_k,LoboWithACause,mention,1
ash_wee_k,LoboWithACause,retweet,1
ash_wee_k,WanderingPoint,mention,1
ash_wee_k,WanderingPoint,retweet,1
askmrsmartinez,RG1gal,mention,1
askmrsmartinez,RG1gal,retweet,1
astrojipjawej,jmm2021,mention,1
astrojipjawej,mathprofcarrie,mention,1
astrojipjawej,mathprofcarrie,retweet,1
Atabey_Kaygun,matthematician,mention,1
Atabey_Kaygun,matthematician,retweet,1
Audrey_Mendivil,RG1gal,mention,1
Audrey_Mendivil,RG1gal,retweet,1
AuroraBirdialis,JointMath,mention,1
AuroraBirdialis,sbagley,mention,4
AuroraBirdialis,sbagley,retweet,4
awmadvance,blviray,mention,1
awmadvance,blviray,retweet,1
awmadvance,pwr2dppl,mention,1
awmadvance,WanderingPoint,mention,1
AWMmath,Morehouse,mention,1
AWMmath,susan_dagostino,mention,1
AWMmath,susan_dagostino,retweet,1
BarbaraFantechi,ArisWinger,mention,1
BarbaraFantechi,belladoesmath,retweet,1
BarbaraFantechi,darrenglass,mention,1
BarbaraFantechi,darrenglass,retweet,1
BarbaraFantechi,maanow,mention,1
BarbaraFantechi,monsoon0,mention,1
BarbaraFantechi,monsoon0,retweet,1
BarbaraFantechi,pwr2dppl,mention,1
BarbaraFantechi,pwr2dppl,retweet,1
BarbaraFantechi,VictorPiercey1,mention,1
BarbaraFantechi,VictorPiercey1,retweet,1
BarbaraFantechi,WanderingPoint,mention,2
BarbaraFantechi,WanderingPoint,retweet,2
BarbaraJaneGunn,AliciaPL25,mention,1
BarbaraJaneGunn,AliciaPL25,retweet,1
BarbaraJaneGunn,FedericoArdila,mention,1
bat_scholar,WanderingPoint,mention,1
bat_scholar,WanderingPoint,retweet,1
bearboyf,jmm2021,mention,1
bearboyf,mathprofcarrie,mention,1
bearboyf,mathprofcarrie,retweet,1
BenisConsumer,BresockCalculus,mention,1
BenisConsumer,BresockCalculus,reply,1
benjamindickman,achambertloir,mention,1
benjamindickman,AlexandraBerke,mention,1
benjamindickman,AliciaPL25,mention,1
benjamindickman,AliciaPL25,retweet,1
benjamindickman,amermathsoc,mention,2
benjamindickman,amermathsoc,quote-tweet,1
benjamindickman,BarbaraFantechi,mention,1
benjamindickman,benjamindickman,quote-tweet,2
benjamindickman,blkmathmagic,mention,2
benjamindickman,blkmathmagic,reply,1
benjamindickman,blviray,mention,1
benjamindickman,blviray,retweet,1
benjamindickman,diazlopezmath,mention,1
benjamindickman,diazlopezmath,retweet,1
benjamindickman,FedericoArdila,mention,1
benjamindickman,GlobalMathDept,quote-tweet,1
benjamindickman,HigherGeometer,mention,1
benjamindickman,jmm2021,mention,1
benjamindickman,JointMath,mention,1
benjamindickman,joshuazucker,mention,1
benjamindickman,joshuazucker,reply,1
benjamindickman,LoboWithACause,mention,2
benjamindickman,LoboWithACause,retweet,1
benjamindickman,lpachter,mention,1
benjamindickman,mathprofcarrie,mention,2
benjamindickman,mathprofcarrie,retweet,2
benjamindickman,mathyadriana,mention,1
benjamindickman,mathyadriana,retweet,1
benjamindickman,monsoon0,mention,1
benjamindickman,monsoon0,retweet,1
benjamindickman,pwr2dppl,mention,3
benjamindickman,pwr2dppl,retweet,1
benjamindickman,samjshah2,mention,1
benjamindickman,sbagley,mention,1
benjamindickman,sbagley,retweet,1
benjamindickman,thewordninja_bk,mention,1
benjamindickman,todosmath,mention,1
benjamindickman,WanderingPoint,mention,2
benjamindickman,WanderingPoint,retweet,1
benjamindickman,XenaProject,mention,1
BikeMath,matthematician,mention,1
BikeMath,matthematician,retweet,1
BikeMath,pwr2dppl,mention,4
BikeMath,pwr2dppl,reply,3
BikeMath,sbagley,mention,1
BikeMath,sbagley,retweet,1
BikeMath,thewordninja_bk,mention,2
BikeMath,thewordninja_bk,reply,1
BikeMath,WanderingPoint,mention,1
BikeMath,WanderingPoint,retweet,1
BillOpenmind,BillOpenmind,mention,1
BillOpenmind,BillOpenmind,retweet,1
blkmathmagic,blkmathmagic,mention,1
blkmathmagic,blkmathmagic,reply,3
blkmathmagic,FedericoArdila,mention,2
blkmathmagic,jmm2021,mention,1
blkmathmagic,LoboWithACause,mention,2
blkmathmagic,MarissaKawehi,mention,3
blkmathmagic,MarissaKawehi,reply,2
blkmathmagic,MarissaKawehi,retweet,1
blkmathmagic,mathprofcarrie,mention,4
blkmathmagic,mathprofcarrie,retweet,1
blkmathmagic,priyam886,mention,2
blkmathmagic,pwr2dppl,mention,4
blkmathmagic,pwr2dppl,quote-tweet,1
blkmathmagic,pwr2dppl,retweet,1
blkmathmagic,sbagley,mention,1
blkmathmagic,sbagley,retweet,1
blkmathmagic,vanessaarceliaa,mention,2
blkmathmagic,vanessaarceliaa,reply,1
blkmathmagic,WanderingPoint,mention,1
blkmathmagic,WanderingPoint,retweet,1
blkmathmagic,xl772,mention,2
blviray,FedericoArdila,mention,1
blviray,priyam886,quote-tweet,1
blviray,pwr2dppl,mention,1
blviray,WanderingPoint,mention,1
BmcChem,jmm2021,mention,1
BmcChem,mathprofcarrie,mention,1
BmcChem,mathprofcarrie,retweet,1
bmgilland,WanderingPoint,mention,1
bmgilland,WanderingPoint,retweet,1
BrandauerJ,DrMRLD,mention,1
BrandauerJ,DrMRLD,retweet,1
Cal_Q_L8,HZinnbrooks,mention,1
Cal_Q_L8,mathcourtney,mention,1
Cal_Q_L8,mathcourtney,retweet,1
CardColm,monsoon0,mention,1
CardColm,monsoon0,retweet,1
Category_Fury,mathyadriana,mention,1
Category_Fury,WanderingPoint,mention,1
Category_Fury,WanderingPoint,retweet,1
Cayleygrapher,vanessaarceliaa,mention,1
Cayleygrapher,vanessaarceliaa,reply,1
ccshan,WanderingPoint,mention,1
ccshan,WanderingPoint,retweet,1
CecileMichaut,arretsurimages,mention,1
CecileMichaut,Laelia_Ve,mention,1
CecileMichaut,Laelia_Ve,reply,1
CecileMichaut,realUNIVfrance,mention,1
CeritDr,WanderingPoint,mention,1
CeritDr,WanderingPoint,retweet,1
ChengSoonOng,mathyadriana,mention,1
ChengSoonOng,WanderingPoint,mention,1
ChengSoonOng,WanderingPoint,retweet,1
ChristianJaeh,WanderingPoint,mention,1
ChristianJaeh,WanderingPoint,retweet,1
cjp_still,matthewando,mention,1
cjp_still,matthewando,retweet,1
CKalinecCraig,blkmathmagic,quote-tweet,1
ClaudioJacobo,ClaudioJacobo,reply,1
ClaudioJacobo,mathprofcarrie,mention,1
ClaudioJacobo,uchicagogsu,mention,1
ComplexWales,BillOpenmind,mention,1
ComplexWales,BillOpenmind,retweet,1
CompStatsGeom,AliciaPL25,mention,1
CompStatsGeom,AliciaPL25,retweet,1
CompStatsGeom,FedericoArdila,mention,1
con_nect_ed,belladoesmath,retweet,1
cordesm,WanderingPoint,mention,1
cordesm,WanderingPoint,retweet,1
ctheobarker,monsoon0,mention,1
ctheobarker,monsoon0,retweet,1
