sender,receiver,ties
_pjames_,pwr2dppl,2
_pmkr,WanderingPoint,2
1Biotensegrity,RG1gal,2
41mikes,jmm2021,1
41mikes,mathprofcarrie,2
abbaskins,jmm2021,1
abbaskins,mathprofcarrie,2
AbelOtuya,mathprofcarrie,2
aboufade,WanderingPoint,2
AbsurdistPedant,WanderingPoint,2
Acertaintom,VictorPiercey1,6
achambertloir,arretsurimages,1
achambertloir,CecileMichaut,2
achambertloir,jmm2021,1
achambertloir,JohannaF_math,2
achambertloir,Laelia_Ve,1
achambertloir,mathprofcarrie,2
achambertloir,realUNIVfrance,1
AJ72826261,KJMDPhD,1
AJ72826261,KyJmd,1
AlBell42017,BillOpenmind,2
AlbertTLunde,belladoesmath,1
AlexGalarce,mathyadriana,1
AlexGalarce,WanderingPoint,2
AlexPHoover,frontLahn,2
algebrandis,blkmathmagic,1
algebrandis,frontLahn,2
algebrandis,mathprofcarrie,4
algebrandis,pwr2dppl,2
algebrandis,sbagley,2
AliciaPL25,dtkung,1
AliciaPL25,FedericoArdila,1
AliciaPL25,youngstownstate,1
anitochdz,frontLahn,2
anna_c_nelson,HZinnbrooks,1
anna_c_nelson,mathcourtney,2
annakmil,jmm2021,1
annakmil,mathprofcarrie,2
annarden,RG1gal,2
AnnClifton9,WanderingPoint,2
ArcheyDawn,ArcheyDawn,1
ArcheyDawn,diazlopezmath,2
ArcheyDawn,LoboWithACause,2
ArcheyDawn,mathprofcarrie,3
ArcheyDawn,mathyadriana,3
ArcheyDawn,pwr2dppl,2
ArcheyDawn,RachelleDeCoste,2
ArcheyDawn,WanderingPoint,2
ArcheyDawn,xl772,2
arsuaga3,WanderingPoint,2
ash_wee_k,LoboWithACause,2
ash_wee_k,WanderingPoint,2
askmrsmartinez,RG1gal,2
astrojipjawej,jmm2021,1
astrojipjawej,mathprofcarrie,2
Atabey_Kaygun,matthematician,2
Audrey_Mendivil,RG1gal,2
AuroraBirdialis,JointMath,1
AuroraBirdialis,sbagley,8
awmadvance,blviray,2
awmadvance,pwr2dppl,1
awmadvance,WanderingPoint,1
AWMmath,Morehouse,1
AWMmath,susan_dagostino,2
BarbaraFantechi,ArisWinger,1
BarbaraFantechi,belladoesmath,1
BarbaraFantechi,darrenglass,2
BarbaraFantechi,maanow,1
BarbaraFantechi,monsoon0,2
BarbaraFantechi,pwr2dppl,2
BarbaraFantechi,VictorPiercey1,2
BarbaraFantechi,WanderingPoint,4
BarbaraJaneGunn,AliciaPL25,2
BarbaraJaneGunn,FedericoArdila,1
bat_scholar,WanderingPoint,2
bearboyf,jmm2021,1
bearboyf,mathprofcarrie,2
BenisConsumer,BresockCalculus,2
benjamindickman,achambertloir,1
benjamindickman,AlexandraBerke,1
benjamindickman,AliciaPL25,2
benjamindickman,amermathsoc,3
benjamindickman,BarbaraFantechi,1
benjamindickman,benjamindickman,2
benjamindickman,blkmathmagic,3
benjamindickman,blviray,2
benjamindickman,diazlopezmath,2
benjamindickman,FedericoArdila,1
benjamindickman,GlobalMathDept,1
benjamindickman,HigherGeometer,1
benjamindickman,jmm2021,1
benjamindickman,JointMath,1
benjamindickman,joshuazucker,2
benjamindickman,LoboWithACause,3
benjamindickman,lpachter,1
benjamindickman,mathprofcarrie,4
benjamindickman,mathyadriana,2
benjamindickman,monsoon0,2
benjamindickman,pwr2dppl,4
benjamindickman,samjshah2,1
benjamindickman,sbagley,2
benjamindickman,thewordninja_bk,1
benjamindickman,todosmath,1
benjamindickman,WanderingPoint,3
benjamindickman,XenaProject,1
BikeMath,matthematician,2
BikeMath,pwr2dppl,7
BikeMath,sbagley,2
BikeMath,thewordninja_bk,3
BikeMath,WanderingPoint,2
BillOpenmind,BillOpenmind,2
blkmathmagic,blkmathmagic,4
blkmathmagic,FedericoArdila,2
blkmathmagic,jmm2021,1
blkmathmagic,LoboWithACause,2
blkmathmagic,MarissaKawehi,6
blkmathmagic,mathprofcarrie,5
blkmathmagic,priyam886,2
blkmathmagic,pwr2dppl,6
blkmathmagic,sbagley,2
blkmathmagic,vanessaarceliaa,3
blkmathmagic,WanderingPoint,2
blkmathmagic,xl772,2
blviray,FedericoArdila,1
blviray,priyam886,1
blviray,pwr2dppl,1
blviray,WanderingPoint,1
BmcChem,jmm2021,1
BmcChem,mathprofcarrie,2
bmgilland,WanderingPoint,2
BrandauerJ,DrMRLD,2
Cal_Q_L8,HZinnbrooks,1
Cal_Q_L8,mathcourtney,2
CardColm,monsoon0,2
Category_Fury,mathyadriana,1
Category_Fury,WanderingPoint,2
Cayleygrapher,vanessaarceliaa,2
ccshan,WanderingPoint,2
CecileMichaut,arretsurimages,1
CecileMichaut,Laelia_Ve,2
CecileMichaut,realUNIVfrance,1
CeritDr,WanderingPoint,2
ChengSoonOng,mathyadriana,1
ChengSoonOng,WanderingPoint,2
ChristianJaeh,WanderingPoint,2
cjp_still,matthewando,2
CKalinecCraig,blkmathmagic,1
ClaudioJacobo,ClaudioJacobo,1
ClaudioJacobo,mathprofcarrie,1
ClaudioJacobo,uchicagogsu,1
ComplexWales,BillOpenmind,2
CompStatsGeom,AliciaPL25,2
CompStatsGeom,FedericoArdila,1
con_nect_ed,belladoesmath,1
cordesm,WanderingPoint,2
ctheobarker,monsoon0,2
ctheobarker,RG1gal,4
ctheobarker,siwelwerd,2
ctheobarker,WanderingPoint,2
dagan_karp,WanderingPoint,2
dana_neidinger,mathprofcarrie,2
daveinstpaul,WanderingPoint,2
davewripley,WanderingPoint,2
davidwees,davidwees,1
davidwees,DingleTeach,3
davidwees,mathprofcarrie,3
davidwees,Sam71244027,2
davidwees,sophgermain,2
dbdoughe,WanderingPoint,2
declan_hoare,MarissaKawehi,2
DeirdreM10,DrMRLD,2
diazlopezmath,amermathsoc,1
diazlopezmath,cath2math,1
diazlopezmath,diazlopezmath,2
diazlopezmath,JointMath,1
diazlopezmath,kenandoesmath,1
diazlopezmath,LoboWithACause,1
diazlopezmath,mathprofcarrie,1
diazlopezmath,mathyadriana,1
diazlopezmath,pwr2dppl,3
diazlopezmath,RachelleDeCoste,1
diazlopezmath,VictorPiercey1,2
diazlopezmath,WanderingPoint,5
diazlopezmath,xl772,1
DingleTeach,benjamindickman,2
DingleTeach,DingleTeach,1
DingleTeach,HthrLynnJ,2
DingleTeach,LoboWithACause,1
DingleTeach,mathprofcarrie,2
DingleTeach,Sam71244027,1
DingleTeach,sophgermain,1
DingleTeach,WanderingPoint,2
DLeslieLancs,WanderingPoint,2
Doc_Kat,pwr2dppl,2
Doc_Kat,WanderingPoint,2
drbehardisty,siwelwerd,2
DrBKirkpatrick,sbagley,2
